id,title,country,points,price,province,variety,winery,Lat,Lng
4,Gérard Bertrand 1945 Legend Vintage Red (Rivesaltes),France,95,350.00,Languedoc-Roussillon,Red Blend,Gérard Bertrand,43.6508979,2.1459687
5341,Monteverro 2008 Red (Toscana),Italy,95,175.00,Tuscany,Red Blend,Monteverro,42.429221,11.418378
10344,Château Cheval Blanc 2010 Saint-Émilion,France,100,1500.00,Bordeaux,Bordeaux-style Red Blend,Château Cheval Blanc,44.9195013,-0.1896825
7265,Château Pontet-Canet 2009 Barrel sample (Pauillac),France,99,,Bordeaux,Bordeaux-style Red Blend,Château Pontet-Canet,45.2088651,-0.771358
5090,Pirouette 2008 Red Wine Red (Columbia Valley (WA)),US,98,50.00,Washington,Bordeaux-style Red Blend,Pirouette,29.1158254,-110.987534
10962,Château Latour 2011 Pauillac,France,97,660.00,Bordeaux,Bordeaux-style Red Blend,Château Latour,45.1769372,-0.7505268
3821,Continuum 2007 Red (Napa Valley),US,97,140.00,California,Bordeaux-style Red Blend,Continuum,38.467257,-122.328257
7657,Ovid 2009 Red (Napa Valley),US,97,195.00,California,Bordeaux-style Red Blend,Ovid,38.461053,-122.343615
9081,Vieux Château Certan 2010 Saint-Émilion,France,97,,Bordeaux,Bordeaux-style Red Blend,Vieux Château Certan,44.9269249,-0.1999426
19751,Château Figeac 2014 Saint-Émilion,France,97,90.00,Bordeaux,Bordeaux-style Red Blend,Château Figeac,44.9128357,-0.1945939
4973,Verité 2008 Le Desir Red (Sonoma County),US,97,450.00,California,Bordeaux-style Red Blend,Verité,38.6141926,-122.76923
20542,Château Ausone 2014 Saint-Émilion,France,97,530.00,Bordeaux,Bordeaux-style Red Blend,Château Ausone,44.8888223,-0.1590828
21242,Domaine Vacheron 2014 L'Enclos des Remparts Sauvignon Blanc (Vin de France),France,96,,France Other,Sauvignon Blanc,Domaine Vacheron,38.2568713,-122.4372592
5400,Chalk Hill 2008 Musque Sauvignon Blanc (Chalk Hill),US,95,40.00,California,Sauvignon Blanc,Chalk Hill,38.6037982,-122.7772125
15763,Henri Bourgeois 2012 Jadis (Sancerre),France,95,55.00,Loire Valley,Sauvignon Blanc,Henri Bourgeois,47.3314296,2.8378952
23342,Daniel Chotard 2015 Les Cris (Sancerre),France,94,39.00,Loire Valley,Sauvignon Blanc,Daniel Chotard,47.307876,2.7648804
24081,Galerie 2015 Equitem Sauvignon Blanc (Knights Valley),US,94,30.00,California,Sauvignon Blanc,Galerie,37.8554179,-122.4789015
21579,Henri Bourgeois 2014 Etienne Henri (Sancerre),France,94,65.00,Loire Valley,Sauvignon Blanc,Henri Bourgeois,47.3314296,2.8378952
